otu	Order	Family	Genus	Species
Abeillia abeillei	Caprimulgiformes	Trochilidae	Abeillia	Abeillia abeillei
Abroscopus albogularis	Passeriformes	Scotocercidae	Abroscopus	Abroscopus albogularis
Abroscopus schisticeps	Passeriformes	Scotocercidae	Abroscopus	Abroscopus schisticeps
Abroscopus superciliaris	Passeriformes	Scotocercidae	Abroscopus	Abroscopus superciliaris
Aburria aburri	Galliformes	Cracidae	Aburria	Aburria aburri
Acanthagenys rufogularis	Passeriformes	Meliphagidae	Acanthagenys	Acanthagenys rufogularis
Acanthidops bairdi	Passeriformes	Thraupidae	Acanthidops	Acanthidops bairdi
Acanthis cabaret	Passeriformes	Fringillidae	Acanthis	Acanthis cabaret
Acanthis flammea	Passeriformes	Fringillidae	Acanthis	Acanthis flammea
Acanthis hornemanni	Passeriformes	Fringillidae	Acanthis	Acanthis hornemanni
Acanthisitta chloris	Passeriformes	Acanthisittidae	Acanthisitta	Acanthisitta chloris
Acanthiza apicalis	Passeriformes	Acanthizidae	Acanthiza	Acanthiza apicalis
Acanthiza chrysorrhoa	Passeriformes	Acanthizidae	Acanthiza	Acanthiza chrysorrhoa
Acanthiza cinerea	Passeriformes	Acanthizidae	Acanthiza	Acanthiza cinerea
Acanthiza ewingii	Passeriformes	Acanthizidae	Acanthiza	Acanthiza ewingii
Acanthiza inornata	Passeriformes	Acanthizidae	Acanthiza	Acanthiza inornata
Acanthiza iredalei	Passeriformes	Acanthizidae	Acanthiza	Acanthiza iredalei
Acanthiza katherina	Passeriformes	Acanthizidae	Acanthiza	Acanthiza katherina
Acanthiza lineata	Passeriformes	Acanthizidae	Acanthiza	Acanthiza lineata
Acanthiza murina	Passeriformes	Acanthizidae	Acanthiza	Acanthiza murina
Acanthiza nana	Passeriformes	Acanthizidae	Acanthiza	Acanthiza nana
Acanthiza pusilla	Passeriformes	Acanthizidae	Acanthiza	Acanthiza pusilla
Acanthiza reguloides	Passeriformes	Acanthizidae	Acanthiza	Acanthiza reguloides
Acanthiza robustirostris	Passeriformes	Acanthizidae	Acanthiza	Acanthiza robustirostris
Acanthiza uropygialis	Passeriformes	Acanthizidae	Acanthiza	Acanthiza uropygialis
Acanthorhynchus superciliosus	Passeriformes	Meliphagidae	Acanthorhynchus	Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris	Passeriformes	Meliphagidae	Acanthorhynchus	Acanthorhynchus tenuirostris
Acanthornis magna	Passeriformes	Acanthizidae	Acanthornis	Acanthornis magna
Accipiter albogularis	Accipitriformes	Accipitridae	Accipiter	Accipiter albogularis
Accipiter atricapillus	Accipitriformes	Accipitridae	Accipiter	Accipiter atricapillus
Accipiter badius	Accipitriformes	Accipitridae	Accipiter	Accipiter badius
Accipiter bicolor	Accipitriformes	Accipitridae	Accipiter	Accipiter bicolor
Accipiter brachyurus	Accipitriformes	Accipitridae	Accipiter	Accipiter brachyurus
Accipiter brevipes	Accipitriformes	Accipitridae	Accipiter	Accipiter brevipes
Accipiter butleri	Accipitriformes	Accipitridae	Accipiter	Accipiter butleri
Accipiter castanilius	Accipitriformes	Accipitridae	Accipiter	Accipiter castanilius
Accipiter chilensis	Accipitriformes	Accipitridae	Accipiter	Accipiter chilensis
Accipiter cirrocephalus	Accipitriformes	Accipitridae	Accipiter	Accipiter cirrocephalus
Accipiter cooperii	Accipitriformes	Accipitridae	Accipiter	Accipiter cooperii
Accipiter erythrauchen	Accipitriformes	Accipitridae	Accipiter	Accipiter erythrauchen
Accipiter erythropus	Accipitriformes	Accipitridae	Accipiter	Accipiter erythropus
Accipiter fasciatus	Accipitriformes	Accipitridae	Accipiter	Accipiter fasciatus
Accipiter francesiae	Accipitriformes	Accipitridae	Accipiter	Accipiter francesiae
Accipiter gentilis	Accipitriformes	Accipitridae	Accipiter	Accipiter gentilis
Accipiter griseiceps	Accipitriformes	Accipitridae	Accipiter	Accipiter griseiceps
Accipiter gularis	Accipitriformes	Accipitridae	Accipiter	Accipiter gularis
Accipiter gundlachi	Accipitriformes	Accipitridae	Accipiter	Accipiter gundlachi
Accipiter haplochrous	Accipitriformes	Accipitridae	Accipiter	Accipiter haplochrous
Accipiter henicogrammus	Accipitriformes	Accipitridae	Accipiter	Accipiter henicogrammus
Accipiter henstii	Accipitriformes	Accipitridae	Accipiter	Accipiter henstii
Accipiter hiogaster	Accipitriformes	Accipitridae	Accipiter	Accipiter hiogaster
Accipiter imitator	Accipitriformes	Accipitridae	Accipiter	Accipiter imitator
Accipiter luteoschistaceus	Accipitriformes	Accipitridae	Accipiter	Accipiter luteoschistaceus
Accipiter madagascariensis	Accipitriformes	Accipitridae	Accipiter	Accipiter madagascariensis
Accipiter melanochlamys	Accipitriformes	Accipitridae	Accipiter	Accipiter melanochlamys
Accipiter melanoleucus	Accipitriformes	Accipitridae	Accipiter	Accipiter melanoleucus
Accipiter meyerianus	Accipitriformes	Accipitridae	Accipiter	Accipiter meyerianus
Accipiter minullus	Accipitriformes	Accipitridae	Accipiter	Accipiter minullus
Accipiter nanus	Accipitriformes	Accipitridae	Accipiter	Accipiter nanus
Accipiter nisus	Accipitriformes	Accipitridae	Accipiter	Accipiter nisus
Accipiter novaehollandiae	Accipitriformes	Accipitridae	Accipiter	Accipiter novaehollandiae
Accipiter ovampensis	Accipitriformes	Accipitridae	Accipiter	Accipiter ovampensis
Accipiter poliocephalus	Accipitriformes	Accipitridae	Accipiter	Accipiter poliocephalus
Accipiter poliogaster	Accipitriformes	Accipitridae	Accipiter	Accipiter poliogaster
Accipiter princeps	Accipitriformes	Accipitridae	Accipiter	Accipiter princeps
Accipiter rhodogaster	Accipitriformes	Accipitridae	Accipiter	Accipiter rhodogaster
Accipiter rufitorques	Accipitriformes	Accipitridae	Accipiter	Accipiter rufitorques
Accipiter rufiventris	Accipitriformes	Accipitridae	Accipiter	Accipiter rufiventris
Accipiter soloensis	Accipitriformes	Accipitridae	Accipiter	Accipiter soloensis
Accipiter striatus	Accipitriformes	Accipitridae	Accipiter	Accipiter striatus
Accipiter tachiro	Accipitriformes	Accipitridae	Accipiter	Accipiter tachiro
Accipiter trinotatus	Accipitriformes	Accipitridae	Accipiter	Accipiter trinotatus
Accipiter trivirgatus	Accipitriformes	Accipitridae	Accipiter	Accipiter trivirgatus
Accipiter virgatus	Accipitriformes	Accipitridae	Accipiter	Accipiter virgatus
Aceros nipalensis	Bucerotiformes	Bucerotidae	Aceros	Aceros nipalensis
Achaetops pycnopygius	Passeriformes	Macrosphenidae	Achaetops	Achaetops pycnopygius
Acridotheres albocinctus	Passeriformes	Sturnidae	Acridotheres	Acridotheres albocinctus
Acridotheres burmannicus	Passeriformes	Sturnidae	Acridotheres	Acridotheres burmannicus
Acridotheres cristatellus	Passeriformes	Sturnidae	Acridotheres	Acridotheres cristatellus
Acridotheres fuscus	Passeriformes	Sturnidae	Acridotheres	Acridotheres fuscus
Acridotheres ginginianus	Passeriformes	Sturnidae	Acridotheres	Acridotheres ginginianus
Acridotheres grandis	Passeriformes	Sturnidae	Acridotheres	Acridotheres grandis
Acridotheres javanicus	Passeriformes	Sturnidae	Acridotheres	Acridotheres javanicus
Acridotheres leucocephalus	Passeriformes	Sturnidae	Acridotheres	Acridotheres leucocephalus
Acridotheres tristis	Passeriformes	Sturnidae	Acridotheres	Acridotheres tristis
Acritillas indica	Passeriformes	Pycnonotidae	Acritillas	Acritillas indica
Acrobatornis fonsecai	Passeriformes	Furnariidae	Acrobatornis	Acrobatornis fonsecai
Acrocephalus aequinoctialis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus aequinoctialis
Acrocephalus agricola	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus agricola
Acrocephalus arundinaceus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus arundinaceus
Acrocephalus atyphus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus atyphus
Acrocephalus australis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus australis
Acrocephalus bistrigiceps	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus bistrigiceps
Acrocephalus brevipennis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus brevipennis
Acrocephalus caffer	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus caffer
Acrocephalus concinens	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus concinens
Acrocephalus dumetorum	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus dumetorum
Acrocephalus familiaris	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus familiaris
Acrocephalus gracilirostris	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus gracilirostris
Acrocephalus griseldis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus griseldis
Acrocephalus hiwae	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus hiwae
Acrocephalus kerearako	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus kerearako
Acrocephalus melanopogon	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus melanopogon
Acrocephalus mendanae	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus mendanae
Acrocephalus newtoni	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus newtoni
Acrocephalus orientalis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus orientalis
Acrocephalus orinus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus orinus
Acrocephalus paludicola	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus paludicola
Acrocephalus palustris	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus palustris
Acrocephalus percernis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus percernis
Acrocephalus rehsei	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus rehsei
Acrocephalus rimitarae	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus rimitarae
Acrocephalus rodericanus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus rodericanus
Acrocephalus rufescens	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus rufescens
Acrocephalus schoenobaenus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus schoenobaenus
Acrocephalus scirpaceus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus scirpaceus
Acrocephalus sechellensis	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus sechellensis
Acrocephalus sorghophilus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus sorghophilus
Acrocephalus stentoreus	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus stentoreus
Acrocephalus syrinx	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus syrinx
Acrocephalus taiti	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus taiti
Acrocephalus tangorum	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus tangorum
Acrocephalus vaughani	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus vaughani
Acropternis orthonyx	Passeriformes	Rhinocryptidae	Acropternis	Acropternis orthonyx
Acryllium vulturinum	Galliformes	Numididae	Acryllium	Acryllium vulturinum
Actenoides concretus	Coraciiformes	Alcedinidae	Actenoides	Actenoides concretus
Actenoides hombroni	Coraciiformes	Alcedinidae	Actenoides	Actenoides hombroni
Actenoides lindsayi	Coraciiformes	Alcedinidae	Actenoides	Actenoides lindsayi
Actenoides monachus	Coraciiformes	Alcedinidae	Actenoides	Actenoides monachus
Actenoides princeps	Coraciiformes	Alcedinidae	Actenoides	Actenoides princeps
Actinodura cyanouroptera	Passeriformes	Leiothrichidae	Actinodura	Actinodura cyanouroptera
Actinodura egertoni	Passeriformes	Leiothrichidae	Actinodura	Actinodura egertoni
Actinodura morrisoniana	Passeriformes	Leiothrichidae	Actinodura	Actinodura morrisoniana
Actinodura nipalensis	Passeriformes	Leiothrichidae	Actinodura	Actinodura nipalensis
Actinodura ramsayi	Passeriformes	Leiothrichidae	Actinodura	Actinodura ramsayi
Actinodura sodangorum	Passeriformes	Leiothrichidae	Actinodura	Actinodura sodangorum
Actinodura souliei	Passeriformes	Leiothrichidae	Actinodura	Actinodura souliei
Actinodura strigula	Passeriformes	Leiothrichidae	Actinodura	Actinodura strigula
Actinodura waldeni	Passeriformes	Leiothrichidae	Actinodura	Actinodura waldeni
Actitis hypoleucos	Charadriiformes	Scolopacidae	Actitis	Actitis hypoleucos
Actitis macularius	Charadriiformes	Scolopacidae	Actitis	Actitis macularius
Actophilornis africanus	Charadriiformes	Jacanidae	Actophilornis	Actophilornis africanus
Actophilornis albinucha	Charadriiformes	Jacanidae	Actophilornis	Actophilornis albinucha
Adelomyia melanogenys	Caprimulgiformes	Trochilidae	Adelomyia	Adelomyia melanogenys
Aechmophorus clarkii	Podicipediformes	Podicipedidae	Aechmophorus	Aechmophorus clarkii
Aechmophorus occidentalis	Podicipediformes	Podicipedidae	Aechmophorus	Aechmophorus occidentalis
Aegithalos caudatus	Passeriformes	Aegithalidae	Aegithalos	Aegithalos caudatus
Aegithalos concinnus	Passeriformes	Aegithalidae	Aegithalos	Aegithalos concinnus
Aegithalos exilis	Passeriformes	Aegithalidae	Aegithalos	Aegithalos exilis
Aegithalos fuliginosus	Passeriformes	Aegithalidae	Aegithalos	Aegithalos fuliginosus
Aegithalos glaucogularis	Passeriformes	Aegithalidae	Aegithalos	Aegithalos glaucogularis
Aegithalos iouschistos	Passeriformes	Aegithalidae	Aegithalos	Aegithalos iouschistos
Aegithalos leucogenys	Passeriformes	Aegithalidae	Aegithalos	Aegithalos leucogenys
Aegithalos niveogularis	Passeriformes	Aegithalidae	Aegithalos	Aegithalos niveogularis
Aegithina lafresnayei	Passeriformes	Aegithinidae	Aegithina	Aegithina lafresnayei
Aegithina nigrolutea	Passeriformes	Aegithinidae	Aegithina	Aegithina nigrolutea
Aegithina tiphia	Passeriformes	Aegithinidae	Aegithina	Aegithina tiphia
Aegithina viridissima	Passeriformes	Aegithinidae	Aegithina	Aegithina viridissima
Aegolius acadicus	Strigiformes	Strigidae	Aegolius	Aegolius acadicus
Aegolius funereus	Strigiformes	Strigidae	Aegolius	Aegolius funereus
Aegolius harrisii	Strigiformes	Strigidae	Aegolius	Aegolius harrisii
Aegolius ridgwayi	Strigiformes	Strigidae	Aegolius	Aegolius ridgwayi
Aegotheles affinis	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles affinis
Aegotheles albertisi	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles albertisi
Aegotheles bennettii	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles bennettii
Aegotheles crinifrons	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles crinifrons
Aegotheles cristatus	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles cristatus
Aegotheles insignis	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles insignis
Aegotheles tatei	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles tatei
Aegotheles wallacii	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles wallacii
Aegypius monachus	Accipitriformes	Accipitridae	Aegypius	Aegypius monachus
Aepypodius arfakianus	Galliformes	Megapodiidae	Aepypodius	Aepypodius arfakianus
Aepypodius bruijnii	Galliformes	Megapodiidae	Aepypodius	Aepypodius bruijnii
Aerodramus amelis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus amelis
Aerodramus bartschi	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus bartschi
Aerodramus brevirostris	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus brevirostris
Aerodramus ceramensis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus ceramensis
Aerodramus elaphrus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus elaphrus
Aerodramus francicus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus francicus
Aerodramus fuciphagus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus fuciphagus
Aerodramus germani	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus germani
Aerodramus hirundinaceus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus hirundinaceus
Aerodramus infuscatus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus infuscatus
Aerodramus inquietus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus inquietus
Aerodramus leucophaeus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus leucophaeus
Aerodramus maximus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus maximus
Aerodramus mearnsi	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus mearnsi
Aerodramus nuditarsus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus nuditarsus
Aerodramus ocistus	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus ocistus
Aerodramus orientalis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus orientalis
Aerodramus papuensis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus papuensis
Aerodramus pelewensis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus pelewensis
Aerodramus salangana	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus salangana
Aerodramus sawtelli	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus sawtelli
Aerodramus sororum	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus sororum
Aerodramus spodiopygius	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus spodiopygius
Aerodramus terraereginae	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus terraereginae
Aerodramus unicolor	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus unicolor
Aerodramus vanikorensis	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus vanikorensis
Aerodramus vulcanorum	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus vulcanorum
Aerodramus whiteheadi	Caprimulgiformes	Apodidae	Aerodramus	Aerodramus whiteheadi
Aeronautes andecolus	Caprimulgiformes	Apodidae	Aeronautes	Aeronautes andecolus
Aeronautes montivagus	Caprimulgiformes	Apodidae	Aeronautes	Aeronautes montivagus
Aeronautes saxatalis	Caprimulgiformes	Apodidae	Aeronautes	Aeronautes saxatalis
Aethia cristatella	Charadriiformes	Alcidae	Aethia	Aethia cristatella
Aethia psittacula	Charadriiformes	Alcidae	Aethia	Aethia psittacula
Aethia pusilla	Charadriiformes	Alcidae	Aethia	Aethia pusilla
Aethia pygmaea	Charadriiformes	Alcidae	Aethia	Aethia pygmaea
Aethomyias arfakianus	Passeriformes	Acanthizidae	Aethomyias	Aethomyias arfakianus
Aethomyias nigrorufus	Passeriformes	Acanthizidae	Aethomyias	Aethomyias nigrorufus
Aethomyias papuensis	Passeriformes	Acanthizidae	Aethomyias	Aethomyias papuensis
Aethomyias perspicillatus	Passeriformes	Acanthizidae	Aethomyias	Aethomyias perspicillatus
Aethomyias rufescens	Passeriformes	Acanthizidae	Aethomyias	Aethomyias rufescens
Aethomyias spilodera	Passeriformes	Acanthizidae	Aethomyias	Aethomyias spilodera
Aethopyga bella	Passeriformes	Nectariniidae	Aethopyga	Aethopyga bella
Aethopyga boltoni	Passeriformes	Nectariniidae	Aethopyga	Aethopyga boltoni
Aethopyga christinae	Passeriformes	Nectariniidae	Aethopyga	Aethopyga christinae
Aethopyga duyvenbodei	Passeriformes	Nectariniidae	Aethopyga	Aethopyga duyvenbodei
Aethopyga flagrans	Passeriformes	Nectariniidae	Aethopyga	Aethopyga flagrans
Aethopyga gouldiae	Passeriformes	Nectariniidae	Aethopyga	Aethopyga gouldiae
Aethopyga guimarasensis	Passeriformes	Nectariniidae	Aethopyga	Aethopyga guimarasensis
Aethopyga ignicauda	Passeriformes	Nectariniidae	Aethopyga	Aethopyga ignicauda
Aethopyga linaraborae	Passeriformes	Nectariniidae	Aethopyga	Aethopyga linaraborae
Aethopyga magnifica	Passeriformes	Nectariniidae	Aethopyga	Aethopyga magnifica
Aethopyga mystacalis	Passeriformes	Nectariniidae	Aethopyga	Aethopyga mystacalis
Aethopyga nipalensis	Passeriformes	Nectariniidae	Aethopyga	Aethopyga nipalensis
Aethopyga primigenia	Passeriformes	Nectariniidae	Aethopyga	Aethopyga primigenia
Aethopyga pulcherrima	Passeriformes	Nectariniidae	Aethopyga	Aethopyga pulcherrima
Aethopyga saturata	Passeriformes	Nectariniidae	Aethopyga	Aethopyga saturata
Aethopyga shelleyi	Passeriformes	Nectariniidae	Aethopyga	Aethopyga shelleyi
Aethopyga siparaja	Passeriformes	Nectariniidae	Aethopyga	Aethopyga siparaja
Aethopyga temminckii	Passeriformes	Nectariniidae	Aethopyga	Aethopyga temminckii
Aethopyga tibolii	Passeriformes	Nectariniidae	Aethopyga	Aethopyga tibolii
Aethopyga vigorsii	Passeriformes	Nectariniidae	Aethopyga	Aethopyga vigorsii
Afropavo congensis	Galliformes	Phasianidae	Afropavo	Afropavo congensis
Afrotis afra	Otidiformes	Otididae	Afrotis	Afrotis afra
Afrotis afraoides	Otidiformes	Otididae	Afrotis	Afrotis afraoides
Agamia agami	Pelecaniformes	Ardeidae	Agamia	Agamia agami
Agapornis canus	Psittaciformes	Psittaculidae	Agapornis	Agapornis canus
Agapornis fischeri	Psittaciformes	Psittaculidae	Agapornis	Agapornis fischeri
Agapornis lilianae	Psittaciformes	Psittaculidae	Agapornis	Agapornis lilianae
Agapornis nigrigenis	Psittaciformes	Psittaculidae	Agapornis	Agapornis nigrigenis
Agapornis personatus	Psittaciformes	Psittaculidae	Agapornis	Agapornis personatus
Agapornis pullarius	Psittaciformes	Psittaculidae	Agapornis	Agapornis pullarius
Agapornis roseicollis	Psittaciformes	Psittaculidae	Agapornis	Agapornis roseicollis
Agapornis swindernianus	Psittaciformes	Psittaculidae	Agapornis	Agapornis swindernianus
Agapornis taranta	Psittaciformes	Psittaculidae	Agapornis	Agapornis taranta
Agelaioides badius	Passeriformes	Icteridae	Agelaioides	Agelaioides badius
Agelaioides fringillarius	Passeriformes	Icteridae	Agelaioides	Agelaioides fringillarius
Agelaius assimilis	Passeriformes	Icteridae	Agelaius	Agelaius assimilis
Agelaius humeralis	Passeriformes	Icteridae	Agelaius	Agelaius humeralis
Agelaius phoeniceus	Passeriformes	Icteridae	Agelaius	Agelaius phoeniceus
Agelaius tricolor	Passeriformes	Icteridae	Agelaius	Agelaius tricolor
Agelaius xanthomus	Passeriformes	Icteridae	Agelaius	Agelaius xanthomus
Agelastes meleagrides	Galliformes	Numididae	Agelastes	Agelastes meleagrides
Agelastes niger	Galliformes	Numididae	Agelastes	Agelastes niger
Agelasticus cyanopus	Passeriformes	Icteridae	Agelasticus	Agelasticus cyanopus
Agelasticus thilius	Passeriformes	Icteridae	Agelasticus	Agelasticus thilius
Agelasticus xanthophthalmus	Passeriformes	Icteridae	Agelasticus	Agelasticus xanthophthalmus
Aglaeactis aliciae	Caprimulgiformes	Trochilidae	Aglaeactis	Aglaeactis aliciae
Aglaeactis castelnaudii	Caprimulgiformes	Trochilidae	Aglaeactis	Aglaeactis castelnaudii
Aglaeactis cupripennis	Caprimulgiformes	Trochilidae	Aglaeactis	Aglaeactis cupripennis
Aglaeactis pamela	Caprimulgiformes	Trochilidae	Aglaeactis	Aglaeactis pamela
Aglaiocercus berlepschi	Caprimulgiformes	Trochilidae	Aglaiocercus	Aglaiocercus berlepschi
Aglaiocercus coelestis	Caprimulgiformes	Trochilidae	Aglaiocercus	Aglaiocercus coelestis
Aglaiocercus kingii	Caprimulgiformes	Trochilidae	Aglaiocercus	Aglaiocercus kingii
Agraphospiza rubescens	Passeriformes	Fringillidae	Agraphospiza	Agraphospiza rubescens
Agricola infuscatus	Passeriformes	Muscicapidae	Agricola	Agricola infuscatus
Agricola pallidus	Passeriformes	Muscicapidae	Agricola	Agricola pallidus
Agriornis albicauda	Passeriformes	Tyrannidae	Agriornis	Agriornis albicauda
Agriornis lividus	Passeriformes	Tyrannidae	Agriornis	Agriornis lividus
Agriornis micropterus	Passeriformes	Tyrannidae	Agriornis	Agriornis micropterus
Agriornis montanus	Passeriformes	Tyrannidae	Agriornis	Agriornis montanus
Agriornis murinus	Passeriformes	Tyrannidae	Agriornis	Agriornis murinus
Agropsar philippensis	Passeriformes	Sturnidae	Agropsar	Agropsar philippensis
Agropsar sturninus	Passeriformes	Sturnidae	Agropsar	Agropsar sturninus
Aidemosyne modesta	Passeriformes	Estrildidae	Aidemosyne	Aidemosyne modesta
Ailuroedus arfakianus	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus arfakianus
Ailuroedus astigmaticus	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus astigmaticus
Ailuroedus buccoides	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus buccoides
Ailuroedus crassirostris	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus crassirostris
Ailuroedus geislerorum	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus geislerorum
Ailuroedus jobiensis	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus jobiensis
Ailuroedus maculosus	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus maculosus
Ailuroedus melanocephalus	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus melanocephalus
Ailuroedus melanotis	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus melanotis
Ailuroedus stonii	Passeriformes	Ptilonorhynchidae	Ailuroedus	Ailuroedus stonii
Aimophila notosticta	Passeriformes	Passerellidae	Aimophila	Aimophila notosticta
Aimophila rufescens	Passeriformes	Passerellidae	Aimophila	Aimophila rufescens
Aimophila ruficeps	Passeriformes	Passerellidae	Aimophila	Aimophila ruficeps
Aix galericulata	Anseriformes	Anatidae	Aix	Aix galericulata
Aix sponsa	Anseriformes	Anatidae	Aix	Aix sponsa
Akletos goeldii	Passeriformes	Thamnophilidae	Akletos	Akletos goeldii
Akletos melanoceps	Passeriformes	Thamnophilidae	Akletos	Akletos melanoceps
Alaemon alaudipes	Passeriformes	Alaudidae	Alaemon	Alaemon alaudipes
Alaemon hamertoni	Passeriformes	Alaudidae	Alaemon	Alaemon hamertoni
Alauda arvensis	Passeriformes	Alaudidae	Alauda	Alauda arvensis
Alauda gulgula	Passeriformes	Alaudidae	Alauda	Alauda gulgula
Alauda leucoptera	Passeriformes	Alaudidae	Alauda	Alauda leucoptera
Alauda razae	Passeriformes	Alaudidae	Alauda	Alauda razae
Alaudala cheleensis	Passeriformes	Alaudidae	Alaudala	Alaudala cheleensis
Alaudala heinei	Passeriformes	Alaudidae	Alaudala	Alaudala heinei
Alaudala raytal	Passeriformes	Alaudidae	Alaudala	Alaudala raytal
Alaudala rufescens	Passeriformes	Alaudidae	Alaudala	Alaudala rufescens
Alaudala somalica	Passeriformes	Alaudidae	Alaudala	Alaudala somalica
Alca torda	Charadriiformes	Alcidae	Alca	Alca torda
Alcedo atthis	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis
Alcedo coerulescens	Coraciiformes	Alcedinidae	Alcedo	Alcedo coerulescens
Alcedo euryzona	Coraciiformes	Alcedinidae	Alcedo	Alcedo euryzona
Alcedo hercules	Coraciiformes	Alcedinidae	Alcedo	Alcedo hercules
Alcedo meninting	Coraciiformes	Alcedinidae	Alcedo	Alcedo meninting
Alcedo peninsulae	Coraciiformes	Alcedinidae	Alcedo	Alcedo peninsulae
Alcedo quadribrachys	Coraciiformes	Alcedinidae	Alcedo	Alcedo quadribrachys
Alcedo semitorquata	Coraciiformes	Alcedinidae	Alcedo	Alcedo semitorquata
Alcippe brunneicauda	Passeriformes	Leiothrichidae	Alcippe	Alcippe brunneicauda
Alcippe davidi	Passeriformes	Leiothrichidae	Alcippe	Alcippe davidi
Alcippe fratercula	Passeriformes	Leiothrichidae	Alcippe	Alcippe fratercula
